,Author,Quotes,Likes,Tags
19,Friedrich Nietzsche,"“Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss, the abyss will gaze back into you.”",7063,"['corruption,', 'dark-side,', 'fighting,', 'monsters,', 'soul']"
20,Charles Bukowski,“what matters most is how well you walk through the fire”,7049,
21,"Roy T. Bennett,","“Take responsibility of your own happiness, never put it in other people’s hands.”",7047,"['happiness,', 'inspirational,', 'responsibility']"
22,"Maya Angelou,",“I can be changed by what happens to me. But I refuse to be reduced by it.,7030,"['be-yourself,', 'inspirational,', 'misquote,', 'self-determination']"
23,"Cassandra Clare,","“Is this the part where you say if I hurt her, you'll kill me?""",7026,"['city-of-glass,', 'jace,', 'simon']"
24,Mae West,“I generally avoid temptation unless I can't resist it.”,7001,"['humor,', 'temptation']"
25,"Neil Gaiman,","“Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up. You build up all these defenses, you build up a whole suit of armor, so that nothing can hurt you, then one stupid person, no different from any other stupid person, wanders into your stupid life...You give them a piece of you. They didn't ask for it. They did something dumb one day, like kiss you or smile at you, and then your life isn't your own anymore. Love takes hostages. It gets inside you. It eats you out and leaves you crying in the darkness, so simple a phrase like 'maybe we should be just friends' turns into a glass splinter working its way into your heart. It hurts. Not just in the imagination. Not just in the mind. It's a soul-hurt, a real gets-inside-you-and-rips-you-apart pain. I hate love.”",6991,['love']
26,"Roy T. Bennett,",“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”,6990,"['being-human,', 'goodness,', 'human,', 'human-nature,', 'humanism,', 'humanity,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quote,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'kindness,', 'life,', 'life-and-living,', 'life-lessons,', 'life-philosophy,', 'life-quotes,', 'living,', 'love,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'smile,', 'smiles']"
27,William Faulkner,"“Read, read, read. Read everything -- trash, classics, good and bad, and see how they do it. Just like a carpenter who works as an apprentice and studies the master. Read! You'll absorb it.",6969,"['reading,', 'writing']"
28,"Emily Jane Brontë ,","“If all else perished, and he remained, I should still continue to be; and if all else remained, and he were annihilated, the universe would turn to a mighty stranger.”",6961,"['loss,', 'love']"
29,"Carlos Ruiz Zafón,",“Books are mirrors: you only see in them what you already have inside you.”,6943,"['books,', 'reading,', 'truth']"
0,"Nicholas Sparks,","“They didn’t agree on much. In fact, they didn’t agree on anything. They fought all the time and challenged each other ever day. But despite their differences, they had one important thing in common. They were crazy about each other.”",6934,"['dear-john,', 'love,', 'nicholas-sparks,', 'romance,', 'the-notebook']"
1,"Pablo Neruda,","“Love is so short, forgetting is so long.”",6932,['love']
2,"George R.R. Martin,",“Bran thought about it. 'Can a man still be brave if he's afraid?',6903,"['bravery,', 'courage,', 'fear']"
3,"J.K. Rowling,","“Not my daughter, you bitch!”",6888,"['anger,', 'molly-weasley-anger']"
4,Saul Bellow,“You never have to change anything you got up in the middle of the night to write.”,6885,"['imagination,', 'inspiration,', 'writing']"
5,Stephen King,“Good books don't give up all their secrets at once.”,6878,['books']
6,Jon Katz,"“I think if I've learned anything about friendship, it's to hang in, stay connected, fight for them, and let them fight for you. Don't walk away, don't be distracted, don't be too busy or tired, don't take them for granted. Friends are part of the glue that holds life and faith together. Powerful stuff.”",6874,"['faith,', 'friends,', 'friendship,', 'love']"
7,Martin Luther King Jr.,"“If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.”",6873,['inspirational']
8,"Tahereh Mafi,",“I spent my life folded between the pages of books.,6871,"['books,', 'power-of-words,', 'reading']"
9,Marilyn Monroe,"“All little girls should be told they are pretty, even if they aren't.”",6869,"['beauty,', 'girls']"
10,"John Green,",“I'm not saying that everything is survivable. Just that everything except the last thing is.”,6869,
11,"Haruki Murakami,","“If you remember me, then I don't care if everyone else forgets.”",6868,"['inspirational,', 'love']"
12,"Oscar Wilde,",“The very essence of romance is uncertainty.”,6862,"['love,', 'romance']"
13,Socrates,“The unexamined life is not worth living.”,6860,"['inspiration,', 'truth,', 'wisdom']"
14,Marilyn Monroe,“It's not true that I had nothing on. I had the radio on.”,6844,"['dirty,', 'funny,', 'logo,', 'sex']"
15,Oscar Wilde,“Everything in the world is about sex except sex. Sex is about power.”,6838,"['power,', 'sex']"
16,"Cassandra Clare,","“You could have had anything else in the world, and you asked for me.""",6832,"['clary-fray,', 'jace-wayland,', 'love']"
17,William Shakespeare,“It is not in the stars to hold our destiny but in ourselves.”,6831,['destiny']
18,"Roald Dahl,","“So please, oh please, we beg, we pray,",6827,"['books,', 'humor,', 'television']"
19,"Victor Hugo,","“He never went out without a book under his arm, and he often came back with two.”",6818,
20,Alan Moore,"“My experience of life is that it is not divided up into genres; it’s a horrifying, romantic, tragic, comical, science-fiction cowboy detective novel. You know, with a bit of pornography if you're lucky.”",6812,['life']
21,"Ned Vizzini,","“I didn't want to wake up. I was having a much better time asleep. And that's really sad. It was almost like a reverse nightmare, like when you wake up from a nightmare you're so relieved. I woke up into a nightmare.”",6802,"['depression,', 'sadness,', 'suicide']"
22,"Nicholas Sparks,","“When you're struggling with something, look at all the people around you and realize that every single person you see is struggling with something, and to them, it's just as hard as what you're going through.”",6800,
23,Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,6800,"['adulthood,', 'success,', 'value']"
24,Roy T. Bennett,"“Respect other people's feelings. It might mean nothing to you, but it could mean everything to them.”",6799,"['feelings,', 'inspiration,', 'inspirational-quotes']"
25,Benjamin Franklin,“Either write something worth reading or do something worth writing.”,6796,['hmmm']
26,"Nicholas Sparks,",“Nothing that’s worthwhile is ever easy. Remember that.”,6795,
27,"Cassandra Clare,","“You said you were going for a walk!? What kind of walk takes six hours?""",6793,['mortal-instruments']
28,Friedrich Nietzsche,“There is always some madness in love. But there is also always some reason in madness.”,6790,"['love,', 'madness']"
29,Oscar Wilde,"“Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.”",6779,['truth']
0,"Roy T. Bennett,","“We are all different. Don’t judge, understand instead.”",6760,"['authentic-living,', 'authentic-self,', 'authenticity,', 'compassion']"
1,Charles M. Schulz,“Happiness is a warm puppy.”,6754,"['animals,', 'dogs,', 'happiness,', 'humor,', 'puppies']"
2,Daniel Pennac,“Reader's Bill of Rights,6749,"['books,', 'reading,', 'rights']"
3,Alice Hoffman,“Books may well be the only true magic.”,6742,['books']
4,maya angelou,“I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”,6735,"['humor,', 'inspirational,', 'life']"
5,Mark Twain,“Never allow someone to be your priority while allowing yourself to be their option.”,6721,['heartbreak']
6,"Oscar Wilde,","“Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault. Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope. They are the elect to whom beautiful things mean only Beauty. There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all.”",6716,"['books,', 'morality,', 'reading,', 'writing']"
7,Mark Twain,"“I was gratified to be able to answer promptly, and I did. I said I didn’t know.”",6713,"['humor,', 'knowledge']"
8,"Roy T. Bennett,",“Be mindful. Be grateful. Be positive. Be true. Be kind.”,6706,"['gratitude,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'kindness,', 'life,', 'life-and-living,', 'life-quotes,', 'living-life,', 'mindful,', 'mindfulness,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'truth']"
9,Oprah Winfrey,“Turn your wounds into wisdom.”,6706,"['experience,', 'inspirational,', 'pain,', 'wisdom,', 'wounds']"
10,Albert Camus,“Nobody realizes that some people expend tremendous energy merely to be normal.”,6700,"['humanity,', 'life,', 'mankind,', 'mortality']"
11,"Marie Lu,","“Each day means a new twenty-four hours. Each day means everything's possible again. You live in the moment, you die in the moment, you take it all one day at a time.”",6689,
12,Robert Frost,"“No tears in the writer, no tears in the reader. No surprise in the writer, no surprise in the reader.”",6683,"['reading,', 'writing']"
13,"John Green,","“Without pain, how could we know joy?' This is an old argument in the field of thinking about suffering and its stupidity and lack of sophistication could be plumbed for centuries but suffice it to say that the existence of broccoli does not, in any way, affect the taste of chocolate.”",6646,"['broccoli,', 'chocolate,', 'joy,', 'pleasures,', 'suffering']"
14,"Stephen Chbosky,",“Once on a yellow piece of paper with green lines,6645,['poem']
15,J. D. Salinger,"“Don't ever tell anybody anything. If you do, you start missing everybody.”",6623,"['salinger,', 'stories']"
16,"Cassandra Clare,","“Remember when you tried to convince me to feed a poultry pie to the mallards in the park to see if you could breed a race of cannibal ducks?""",6619,"['jem-carstairs,', 'will-herondale']"
17,"Roy T. Bennett,","“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”",6616,"['accept-yourself,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'keep-moving-forward,', 'letting-go,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'love-yourself,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
18,"Arthur Conan Doyle,","“When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.”",6608,['inspirational']
19,Arthur C. Clarke,“Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.”,6607,"['distance,', 'life,', 'loneliness,', 'qotd,', 'sense-of-wonder,', 'universe']"
20,Winston S. Churchill,"“Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.”",6589,['truth']
21,Albert Einstein,"“The important thing is not to stop questioning. Curiosity has its own reason for existence. One cannot help but be in awe when he contemplates the mysteries of eternity, of life, of the marvelous structure of reality. It is enough if one tries merely to comprehend a little of this mystery each day.",6586,"['1955,', 'curiosity,', 'mystery,', 'physics,', 'science']"
22,"J.R.R. Tolkien,",“Deserves it! I daresay he does. Many that live deserve death. And some that die deserve life. Can you give it to them? Then do not be too eager to deal out death in judgement. For even the very wise cannot see all ends.”,6586,"['compassion,', 'justice,', 'mercy']"
23,"Eleanor Roosevelt,","“You gain strength, courage and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I have lived through this horror. I can take the next thing that comes along.' You must do the thing you think you cannot do.”",6583,['confidence']
24,"Leigh Bardugo,","“I would have come for you. And if I couldn't walk, I'd crawl to you, and no matter how broken we were, we'd fight our way out together-knives drawn, pistols blazing. Because that's what we do. We never stop fighting.”",6575,"['crooked-kingdom,', 'inej-ghafa,', 'kaz-brekker,', 'six-of-crows']"
25,"Jane Smiley,","“Many people, myself among them, feel better at the mere sight of a book.”",6555,"['books,', 'reading']"
26,Jonathan Safran Foer,“You cannot protect yourself from sadness without protecting yourself from happiness.”,6545,"['happiness,', 'sadness']"
27,"John Steinbeck,",“I wonder how many people I've looked at all my life and never seen.”,6543,
28,"George Orwell,","“All animals are equal, but some animals are more equal than others.”",6539,['animal-farm']
29,Dr. Seuss,"“Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.”",6536,"['fantasy,', 'humor']"
0,Woody Allen,"“I don't know the question, but sex is definitely the answer.”",6536,"['humor,', 'life,', 'sex']"
1,Nora Ephron,"“Above all, be the heroine of your life, not the victim.”",6516,"['courage,', 'empowerment,', 'self-determination,', 'women']"
2,"George Orwell,",“War is peace.,6492,"['freedom,', 'ignorance,', 'inspirational,', 'war']"
3,"Sarah Dessen,",“There comes a time when the world gets quiet and the only thing left is your own heart. So you'd better learn the sound of it. Otherwise you'll never understand what it's saying.”,6489,"['just-litsen,', 'sarah-dessen,', 'time']"
4,Daphne du Maurier,"“But luxury has never appealed to me, I like simple things, books, being alone, or with somebody who understands.”",6484,
5,"Roy T. Bennett,","“Life is too short to waste your time on people who don’t respect, appreciate, and value you.”",6476,"['appreciate,', 'inspiration,', 'inspirational,', 'inspirational-attitude']"
6,"Sylvia Plath,","“Kiss me, and you will see how important I am.”",6474,"['importance,', 'kiss,', 'kissing']"
7,Neil Gaiman,"“Life is a disease: sexually transmitted, and invariably fatal.”",6472,
8,Dr. Seuss,“Why fit in when you were born to stand out?”,6458,['seuss']
9,George Carlin,"“Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time!",6448,"['atheism,', 'humor,', 'life,', 'religion']"
10,"Suzanne Collins,","“You're still trying to protect me. Real or not real,"" he whispers.",6436,"['hunger-games,', 'katniss,', 'peeta']"
11,"Terry Pratchett,","“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”",6432,"['death,', 'humor,', 'life']"
12,Joseph Brodsky,“There are worse crimes than burning books. One of them is not reading them.”,6431,"['books,', 'censorship,', 'illiteracy,', 'reading']"
13,"Niccolò Machiavelli,","“Everyone sees what you appear to be, few experience what you really are.”",6422,
14,Haruki Marukami,“Whatever it is you're seeking won't come in the form you're expecting.”,6422,['expectation']
15,"Jhumpa Lahiri,",“That's the thing about books. They let you travel without moving your feet.”,6421,['books']
16,Gabriel Garcia Marquez,“What matters in life is not what happens to you but what you remember and how you remember it.”,6407,['life-memories']
17,"Jamie McGuire,","“To douchebags!"" he said, gesturing to Brad. ""And to girls that break your heart,"" he bowed his head to me. His eyes lost focus. ""And to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.”",6401,"['best-friends,', 'heartbreak,', 'love']"
18,"Stephen Chbosky,","“I am very interested and fascinated how everyone loves each other, but no one really likes each other.”",6390,['moi']
19,Rumi,“Stop acting so small. You are the universe in ecstatic motion.”,6372,
20,"Khaled Hosseini,","“It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”",6366,"['fair,', 'life']"
21,"Lemony Snicket,","“Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.”",6364,['funny']
22,"Paulo Coelho,","“The simple things are also the most extraordinary things, and only the wise can see them.”",6362,['wisdom']
23,"Douglas Coupland,",“Remember: the time you feel lonely is the time you most need to be by yourself. Life's cruelest irony.”,6347,"['irony,', 'life,', 'loneliness']"
24,"Ray Bradbury,",“You must stay drunk on writing so reality cannot destroy you.”,6346,['writing']
25,Leonardo da Vinci,"“Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.”",6345,"['art,', 'poetry']"
26,"David Sedaris,",“If you're looking for sympathy you'll find it between shit and syphilis in the dictionary.”,6321,['sympathy']
27,"Edgar Allan Poe,",“I have great faith in fools - self-confidence my friends will call it.”,6312,"['faith,', 'fool,', 'humor,', 'self-confidence,', 'self-irony']"
28,Jim Morrison,"“People are afraid of themselves, of their own reality; their feelings most of all. People talk about how great love is, but that’s bullshit. Love hurts. Feelings are disturbing. People are taught that pain is evil and dangerous. How can they deal with love if they’re afraid to feel? Pain is meant to wake us up. People try to hide their pain. But they’re wrong. Pain is something to carry, like a radio. You feel your strength in the experience of pain. It’s all in how you carry it. That’s what matters. Pain is a feeling. Your feelings are a part of you. Your own reality. If you feel ashamed of them, and hide them, you’re letting society destroy your reality. You should stand up for your right to feel your pain.”",6310,"['jim,', 'life,', 'morrison,', 'pain,', 'reality']"
29,Friedrich Nietzsche,“You must have chaos within you to give birth to a dancing star.”,6301,"['art,', 'chaos']"
0,"Daphne Rae,","“I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.”",6295,['misattributed-to-mother-teresa']
1,F. Scott Fitzgerald,"“That is part of the beauty of all literature. You discover that your longings are universal longings, that you're not lonely and isolated from anyone. You belong.”",6294,"['belonging,', 'company,', 'desires,', 'literature,', 'longings']"
2,Friedrich Wilhelm Nietzsche,"“You have your way. I have my way. As for the right way, the correct way, and the only way, it does not exist.”",6293,"['amorality,', 'correct-way,', 'individuality,', 'my-way,', 'only-way,', 'right-way,', 'the-way,', 'your-way']"
3,"Cassandra Clare,","“That does it,"" said Jace. ""I'm going to get you a dictionary for Christmas this year.""",6291,"['dictionary,', 'fun,', 'humor,', 'isabelle-lightwood,', 'jace-wayland']"
4,Pamela Redmond Satran,“A WOMAN SHOULD HAVE ....,6287,
5,E.E. Cummings,“To be nobody but,6287,['poetry']
6,"Haruki Murakami,","“What happens when people open their hearts?""",6286,"['healing,', 'vulnerability']"
7,"Jane Austen,","“I cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. It is too long ago. I was in the middle before I knew that I had begun.”",6281,"['love,', 'romance']"
8,"John Green,",“They love their hair because they're not smart enough to love something more interesting.”,6257,"['awesomeness,', 'funny']"
9,"Katie McGarry,",“I don't go looking for trouble. Trouble usually finds me.”,6252,['trouble']
10,"John Green,","“Some tourists think Amsterdam is a city of sin, but in truth it is a city of freedom. And in freedom, most people find sin.”",6249,"['amsterdam,', 'freedom,', 'sin']"
11,"Suzanne Collins,",“Stupid people are dangerous.”,6248,
12,Walt Disney,“Laughter is timeless. Imagination has no age. And dreams are forever.”,6247,
13,Marilyn Monroe,“Beneath the makeup and behind the smile I am just a girl who wishes for the world.”,6245,"['attributed-no-source,', 'girl,', 'makeup,', 'world']"
14,John Lennon,"“As usual, there is a great woman behind every idiot.”",6242,"['beatles,', 'men,', 'women']"
15,"C.S. Lewis,","“Imagine yourself as a living house. God comes in to rebuild that house. At first, perhaps, you can understand what He is doing. He is getting the drains right and stopping the leaks in the roof and so on; you knew that those jobs needed doing and so you are not surprised. But presently He starts knocking the house about in a way that hurts abominably and does not seem to make any sense. What on earth is He up to? The explanation is that He is building quite a different house from the one you thought of - throwing out a new wing here, putting on an extra floor there, running up towers, making courtyards. You thought you were being made into a decent little cottage: but He is building a palace. He intends to come and live in it Himself.”",6242,['god-religion-house']
16,"Madeline Miller,","“I could recognize him by touch alone, by smell; I would know him blind, by the way his breaths came and his feet struck the earth. I would know him in death, at the end of the world.”",6241,
17,Mahatma Gandhi,“Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.”,6234,"['god,', 'heart,', 'humanity,', 'inspirational,', 'prayer,', 'religion,', 'souls,', 'weakness']"
18,Albert Camus,"“Should I kill myself, or have a cup of coffee?”",6228,['attributed-no-source']
19,"Candace Bushnell,","“Man may have discovered fire, but women discovered how to play with it.”",6223,"['love,', 'relationships']"
20,"Ray Bradbury,","“I have never listened to anyone who criticized my taste in space travel, sideshows or gorillas. When this occurs, I pack up my dinosaurs and leave the room.”",6223,"['humour,', 'individuality,', 'science-fiction']"
21,"Christopher Paolini,","“Books are my friends, my companions. They make me laugh and cry and find meaning in life.”",6221,"['books,', 'christopher-paolini,', 'eragon,', 'good-reads']"
22,Cicero,"“If you have a garden and a library, you have everything you need.”",6215,['books']
23,"Charles Bukowski,",“You have to die a few times before you can really,6214,
24,Nelson Mandela,“Education is the most powerful weapon which you can use to change the world.”,6204,"['change,', 'education']"
25,Sigmund Freud,"“One day, in retrospect, the years of struggle will strike you as the most beautiful.”",6196,['inspirational-quotes']
26,"Ursula K. Le Guin,","“Love doesn't just sit there, like a stone, it has to be made, like bread; remade all the time, made new.”",6191,['love']
27,Dr. Seuss,“Being crazy isn't enough.”,6182,['crazy']
28,Winston S. Churchill,"“If you are going through hell, keep going.”",6176,"['hell,', 'perseverance']"
29,"S.E. Hinton,",“I lie to myself all the time. But I never believe me.”,6169,"['lies,', 'lying,', 'self-deception,', 'truth']"
0,"Charles Bukowski,",“My ambition is handicapped by laziness”,6165,
1,Mark Twain,"“But who prays for Satan? Who, in eighteen centuries, has had the common humanity to pray for the one sinner that needed it most?”",6165,['humor-satan']
2,"William Goldman,","“Life is pain, highness. Anyone who says differently is selling something.”",6165,"['life,', 'pain']"
3,Anthony G. Oettinger,“Time flies like an arrow; fruit flies like a banana.”,6157,"['humor,', 'misattributed-to-groucho-marx,', 'time']"
4,Terry Pratchett,“Stories of imagination tend to upset those without one.”,6153,"['fantasy,', 'humor,', 'imagination,', 'literature,', 'stories']"
5,Oscar Wilde,"“I think God, in creating man, somewhat overestimated his ability.”",6148,"['creation,', 'god,', 'humor,', 'man']"
6,"J.K. Rowling,",“Percy wouldn't notice a joke if it danced naked in front of him wearing one of Dobby's hats.”,6139,['humor']
7,William Faulkner,"“Never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. If people all over the world...would do this, it would change the earth.”",6132,"['advocacy,', 'dissent,', 'protest,', 'truth,', 'truth-telling']"
8,J.K. Rowling,"“Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.”",6127,['books']
9,"Lewis Carroll,","“But I don’t want to go among mad people,"" Alice remarked.",6126,['alice-s-adventures-in-wonderland']
10,"Roy T. Bennett,",“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,6125,"['brave,', 'courage,', 'dreams,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'purpose,', 'vision']"
11,"Mark Twain,",“The difference between the,6125,['writing']
12,"Chuck Palahniuk,",“Nothing of me is original. I am the combined effort of everyone I've ever known.”,6121,"['identity,', 'originality']"
13,Mahatma Gandhi,"“I like your Christ, I do not like your Christians. Your Christians are so unlike your Christ.”",6119,"['anti-christian,', 'christianity,', 'christians,', 'jesus-christ']"
14,"Chuck Palahniuk,","“What I want is to be needed. What I need is to be indispensable to somebody. Who I need is somebody that will eat up all my free time, my ego, my attention. Somebody addicted to me. A mutual addiction.”",6108,['love']
15,"Dale Carnegie,",“It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.”,6105,"['attitude,', 'contentment,', 'happiness,', 'inspirational,', 'life']"
16,"Paul Auster,","“Reading was my escape and my comfort, my consolation, my stimulant of choice: reading for the pure pleasure of it, for the beautiful stillness that surrounds you when you hear an author's words reverberating in your head.”",6102,"['books,', 'reading']"
17,Coco Chanel,“A girl should be two things: classy and fabulous.”,6076,"['beauty,', 'class,', 'fashion,', 'girls,', 'women']"
18,"Roy T. Bennett,","“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”",6071,"['achievement,', 'believe-in-yourself,', 'brave,', 'courage,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'talent']"
19,"Suzanne Collins,","“What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.”",6070,"['inspirational,', 'love']"
20,Maya Angelou,"“I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt.”",6043,"['1997,', 'annie-clark-tanner-lecture,', 'inspirational,', 'love,', 'trust']"
21,Bette Davis,"“When a man gives his opinion, he's a man. When a woman gives her opinion, she's a bitch.”",6040,"['clichés,', 'double-standards,', 'empowerment,', 'feminism,', 'gender,', 'hypocrisy,', 'misogyny,', 'opinions,', 'speaking-out,', 'stereotypes,', 'women']"
22,"Veronica Roth,",“I have a theory that selflessness and bravery aren't all that different.”,6039,
23,Charles Bukowski,"“The problem with the world is that the intelligent people are full of doubts, while the stupid ones are full of confidence.”",6030,
24,Audrey Hepburn,"“I love people who make me laugh. I honestly think it's the thing I like most, to laugh. It cures a multitude of ills. It's probably the most important thing in a person.”",6030,['laughter']
25,"Rick Riordan,",“Deadlines just aren't real to me until I'm staring one in the face.”,6024,"['deadlines,', 'humor,', 'procrastinate']"
26,"Nicholas Sparks,","“My daddy said, that the first time you fall in love, it changes you forever and no matter how hard you try, that feeling just never goes away.”",6022,"['love,', 'nicholas,', 'nicholas-sparks,', 'sparks,', 'the-notebook']"
27,"Antoine de Saint-Exupéry,","“Love does not consist of gazing at each other, but in looking outward together in the same direction.”",6012,['love']
28,"Oscar Wilde,",“I never travel without my diary. One should always have something sensational to read in the train.”,6010,"['drama,', 'humor,', 'plays']"
29,Pablo Picasso,“Every child is an artist. The problem is how to remain an artist once he grows up.”,5999,"['art,', 'attributed-no-source']"
0,"Henry Rollins,","“It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head.”",5989,"['life,', 'love,', 'relationships']"
1,Bob Marley,“Some people feel the rain. Others just get wet.”,5984,
2,Eleanor Roosevelt,“The future belongs to those who believe in the beauty of their dreams.”,5977,"['dreams,', 'future,', 'inspirational,', 'misattributed-eleanor-roosevelt']"
3,Irwin Shaw,"“There are too many books I haven’t read, too many places I haven’t seen, too many memories I haven’t kept long enough.”",5968,
4,William Faulkner,“You cannot swim for new horizons until you have courage to lose sight of the shore.”,5966,"['courage,', 'determination,', 'hope,', 'risk']"
5,"Patrick Rothfuss,","“There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”",5958,"['fear,', 'name-of-the-wind,', 'patrick-rothfuss,', 'wisdom']"
6,"Paul McCartney,","“And, in the end",5945,"['beatles,', 'inspirational,', 'live,', 'love,', 'music']"
7,"Marilyn Monroe,","“I don't mind living in a man's world, as long as I can be a woman in it.”",5942,
8,"Terry Pratchett,","“Why do you go away? So that you can come back. So that you can see the place you came from with new eyes and extra colors. And the people there see you differently, too. Coming back to where you started is not the same as never leaving.”",5941,"['adventure,', 'change,', 'discworld,', 'growth,', 'travel']"
9,C.S. Lewis,“No book is really worth reading at the age of ten which is not equally – and often far more – worth reading at the age of fifty and beyond.”,5937,"['age,', 'books,', 're-reading,', 'reading']"
10,"Neil Gaiman,","“Everybody has a secret world inside of them. I mean everybody. All of the people in the whole world, I mean everybody — no matter how dull and boring they are on the outside. Inside them they've all got unimaginable, magnificent, wonderful, stupid, amazing worlds... Not just one world. Hundreds of them. Thousands, maybe.”",5913,
11,Greg Behrendt,"“If he’s not calling you, it’s because you are not on his mind. If he creates expectations for you, and then doesn’t follow through on little things, he will do same for big things. Be aware of this and realize that he’s okay with disappointing you. Don’t be with someone who doesn’t do what they say they’re going to do. If he’s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesn’t respect your feelings and needs. “Busy” is another word for “asshole.” “Asshole” is another word for the guy you’re dating. You deserve a fcking phone call.”",5912,"['busy,', 'call,', 'dating,', 'dating-advice,', 'faith,', 'greg-behrendt,', 'guys,', 'he-s-not-just-into-you,', 'love,', 'marriage,', 'romance,', 'true']"
12,"Walt Whitman,","“Resist much, obey little.”",5908,['poetry']
13,Roy T. Bennett,"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",5902,"['anger,', 'grudge,', 'happiness,', 'happy,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'regret,', 'time,', 'worry']"
14,Mark Twain,"“Loyalty to country ALWAYS. Loyalty to government, when it deserves it.”",5901,"['patriotism,', 'politics']"
